Resilience potential P,Resilience R
0.82,0.27
0.75,0.61
0.78,0.61
0.75,0.57
0.71,0.34
0.71,0.45
0.87,0.49
0.89,0.56
0.85,0.56
0.89,0.51
0.88,0.56
0.89,0.49
0.89,0.51
0.90,0.52
0.82,0.60
0.89,0.44
0.89,0.41
0.33,0.60
0.87,0.46
0.78,0.56
0.71,0.48
0.71,0.49
0.80,0.52
0.88,0.49
0.86,0.49
0.80,0.61
0.50,0.51
0.83,0.37
0.67,0.49
0.50,0.46
0.82,0.57
0.71,0.72
0.67,0.32
0.86,0.45
0.67,0.31
0.82,0.64
0.85,0.39
0.67,0.39
0.78,0.44
0.71,0.44
0.78,0.44
0.60,0.55
0.67,0.50
0.78,0.57
0.71,0.43
0.60,0.48
0.83,0.42
0.50,0.35
0.60,0.39
0.50,0.60
0.67,0.56
0.85,0.45
0.67,0.39
0.33,0.25
0.85,0.44
0.33,0.60
0.86,0.46
0.82,0.45
0.50,0.45
0.71,0.57
0.78,0.41
0.82,0.46
0.60,0.30
0.50,0.54
0.67,0.70
0.71,0.68
0.83,0.56
0.82,0.46
0.80,0.59
0.82,0.62
0.60,0.48
0.33,0.44
0.60,0.32
0.60,0.52
0.80,0.60
0.88,0.39
0.80,0.47
0.88,0.65
0.83,0.50
0.33,0.44
0.78,0.57
0.78,0.46
0.89,0.42
0.85,0.56
0.75,0.51
0.67,0.32
0.67,0.50
0.71,0.54
0.94,0.43
0.75,0.55
0.83,0.50
0.82,0.48
0.86,0.45
0.86,0.45
0.86,0.43
0.80,0.47
0.78,0.41
0.80,0.46
0.67,0.47
0.67,0.46
0.60,0.56
0.85,0.54
0.80,0.50
0.78,0.48
0.75,0.46
0.82,0.47
0.86,0.57
0.78,0.60
0.80,0.50
0.75,0.51
0.71,0.57
0.71,0.61
0.60,0.44
0.67,0.44
0.50,0.60
0.78,0.63
0.67,0.50
0.67,0.47
0.83,0.51
0.60,0.51
0.60,0.54
0.75,0.41
0.71,0.44
0.85,0.43
0.85,0.63
0.87,0.55
0.78,0.44
0.88,0.45
0.88,0.61
0.67,0.25
0.80,0.51
0.75,0.51
0.78,0.67
0.85,0.52
0.86,0.54
0.80,0.49
0.80,0.43
0.71,0.49
0.83,0.47
0.50,0.39
0.80,0.44
0.82,0.54
0.75,0.64
0.71,0.59
0.50,0.60
0.71,0.56
0.50,0.49
0.71,0.59
0.78,0.64
0.50,0.60
0.71,0.55
0.86,0.52
0.87,0.52
0.50,0.45
0.67,0.32
0.83,0.48
0.60,0.32
0.75,0.64
0.50,0.60
0.71,0.56
0.85,0.48
0.50,0.60
0.75,0.64
0.71,0.59
0.80,0.56
0.50,0.55
0.88,0.56
0.75,0.31
0.50,0.60
0.75,0.64
0.71,0.59
0.83,0.57
0.60,0.33
0.88,0.60
0.75,0.46
0.60,0.61
0.75,0.64
0.71,0.59
0.86,0.45
0.71,0.41
0.80,0.56
0.82,0.57
0.67,0.55
0.80,0.47
0.71,0.48
0.83,0.46
0.80,0.47
0.82,0.57
0.75,0.64
0.71,0.59
0.71,0.60
0.78,0.64
0.67,0.49
0.80,0.46
0.83,0.50
0.71,0.59
0.78,0.64
0.71,0.52
0.88,0.44
0.71,0.64
0.80,0.57
0.91,0.42
0.80,0.56
0.50,0.53
0.50,0.49
0.50,0.58
0.50,0.63
0.33,0.64
0.82,0.57
0.71,0.50
0.82,0.57
0.82,0.57
0.33,0.50
0.60,0.49
0.67,0.52
0.67,0.36
0.50,0.50
0.88,0.51
0.83,0.51
0.67,0.40
0.33,0.68
0.33,0.42
0.50,0.52
0.50,0.60
0.33,0.57
0.86,0.57
0.75,0.46
0.87,0.47
0.60,0.39
0.75,0.58
0.87,0.51
0.88,0.50
0.78,0.50
0.88,0.41
0.71,0.47
0.88,0.34
0.50,0.47
0.33,0.38
0.67,0.54
0.50,0.49
0.60,0.38
0.67,0.60
0.33,0.66
0.60,0.66
0.50,0.58
0.83,0.61
0.78,0.50
0.75,0.51
0.67,0.62
0.50,0.60
0.67,0.51
0.75,0.60
0.33,0.55
0.67,0.42
0.67,0.49
0.67,0.47
0.50,0.60
0.71,0.64
0.33,0.29
0.87,0.52
0.60,0.52
0.60,0.38
0.85,0.36
0.60,0.58
0.60,0.64
0.75,0.44
0.67,0.40
0.60,0.35
0.82,0.57
0.67,0.61
0.75,0.52
0.50,0.60
0.71,0.49
0.78,0.63
0.85,0.36
0.82,0.57
0.60,0.67
0.67,0.59
0.67,0.40
0.75,0.40
0.50,0.44
0.60,0.38
0.60,0.37
0.60,0.37
0.60,0.32
0.60,0.37
0.78,0.38
0.89,0.45
0.78,0.50
0.75,0.53
0.89,0.47
0.78,0.50
0.88,0.37
0.67,0.39
0.50,0.37
0.78,0.44
0.78,0.38
0.60,0.67
0.50,0.59
0.60,0.38
0.67,0.49
0.60,0.37
0.78,0.37
0.78,0.50
0.75,0.60
0.80,0.58
0.71,0.28
0.67,0.39
0.75,0.50
0.67,0.40
0.78,0.50
0.67,0.39
0.33,0.52
0.60,0.52
0.60,0.36
0.67,0.47
0.67,0.40
0.60,0.31
0.50,0.51
0.60,0.44
0.50,0.42
0.50,0.41
0.82,0.57
0.78,0.50
0.60,0.37
0.78,0.50
0.50,0.47
0.60,0.57
0.60,0.36
0.78,0.50
0.71,0.46
0.67,0.41
0.71,0.46
0.50,0.47
0.60,0.31
0.50,0.42
0.78,0.50
0.50,0.40
0.50,0.48
0.60,0.58
0.67,0.39
0.50,0.54
0.60,0.31
0.50,0.60
0.60,0.32
0.75,0.42
0.33,0.46
0.71,0.56
0.78,0.50
0.78,0.50
0.78,0.50
0.75,0.44
0.78,0.50
0.71,0.46
0.78,0.50
0.33,0.52
0.75,0.34
0.50,0.29
0.50,0.43
0.50,0.43
0.71,0.48
0.50,0.41
0.50,0.44
0.50,0.43
0.91,0.42
0.91,0.42
0.91,0.42
0.80,0.40
0.33,0.60
0.75,0.47
0.75,0.58
0.78,0.67
0.78,0.67
0.75,0.35
0.75,0.39
0.78,0.66
0.83,0.62
0.78,0.50
0.33,0.35
0.60,0.36
0.71,0.47
0.85,0.47
0.67,0.49
0.82,0.45
0.83,0.34
0.88,0.52
0.82,0.45
0.82,0.47
0.80,0.53
0.78,0.43
0.75,0.51
0.88,0.43
0.60,0.35
0.50,0.29
